Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,40493000,255.85,261.35,209.64,173.14,185.67,195.53,173.73,175.34,150.33,139.98,149.5,164.42
IEX,IDEX Corporation,Industrials,Industrial Machinery,75706000,173.3,165.06,153.04,133.2,151.29,158.12,155.84,166.29,182.08,178.12,178.76,195.14
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,85300000,265.02,275.77,261.99,230.66,270.75,312.19,334.54,391.99,398.49,394.78,431.05,467.86
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,401054000,75.79,79.66,73.49,58.3,65.3,69.92,75.84,81.55,81.15,78.56,82.32,93.6
ITW,Illinois Tool Works,Industrials,Industrial Machinery,316520000,181.68,176.46,173.28,137.27,159.45,171.23,172.44,185.92,201.02,190.9,202.08,210.06
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,146000000,327,293.41,278.28,256.46,305.88,365.41,368.55,397.86,347.84,309.61,292.88,334.34
INCY,Incyte,Health Care,Biotechnology,218996000,85.97,72.94,79.06,74.18,97.3,101.75,102.65,101.79,92.97,92.43,84.44,85.42
IR,Ingersoll Rand,Industrials,Industrial Machinery,417656000,36.88,35.77,32.8,23.79,28.13,28.76,28.04,32.63,36.21,35.57,35.98,44.8
INTC,Intel Corp.,Information Technology,Semiconductors,4098000000,60.84,64.42,58.18,51.88,57.47,61.86,58.81,48.3,50.79,52.24,44.46,49.56
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,561284000,92.67,100.04,93.4,79.31,88.67,97.62,93.3,96.28,106.52,101.43,94.66,107.16
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,891057000,135.42,146.27,134.3,105.14,121.87,124.89,118.54,124.31,123.4,121.09,112.91,123.16
IP,International Paper,Materials,Paper Packaging,393095000,45.52,41.25,38.23,30.15,33.91,34.73,34.81,35.44,37.52,39.95,45.05,49.85
IPG,Interpublic Group,Communication Services,Advertising,390035000,22.71,22.78,21.79,14.54,16.43,17.47,17.06,18.42,17.74,16.77,18.92,22.79
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,106933000,127.55,135.84,122.56,100.73,126.63,131.02,124.17,124.54,124.74,120.09,105.07,111.62
INTU,Intuit Inc.,Information Technology,Application Software,274046000,266.16,282.8,281.18,218.12,261.13,289.95,302.58,311.7,347.18,332.34,316.42,356.82
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,117555000,597.26,565.62,559.07,458.26,498.86,574.59,575.54,688.94,741.57,710.52,675.98,733.65
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,459335000,17.99,17.28,14.78,8.01,7.99,8.22,10.26,10,10.18,11.25,13.48,16.46
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,53301000,146.48,132.81,130.35,105.8,119.37,159.81,155.78,180.01,160.82,173,190.65,207.88
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,191726000,156.41,155.25,147.08,100.04,136.52,149.41,141.53,161.18,165.13,158.33,155.13,171.23
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,288171000,30.41,31.85,31.7,22.22,23.6,26.41,26.25,28.05,29.94,27.01,26.52,27.24
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,76316000,145.89,151.98,158.73,147.08,158.5,180.72,183.83,182,164.36,163.54,151.77,161.34
J,Jacobs Engineering Group,Industrials,Construction & Engineering,129981000,90.27,93.04,96.89,79.22,80.78,85.09,83.9,90.5,91.44,91.45,99.12,108.73
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,105679000,117.52,110.44,96.56,90.5,100.87,115.56,117.65,130.62,140.97,125.21,122.43,135.66
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,114093000,102.14,104.17,106.74,109.6,115.51,115.32,105.22,110.97,117.96,116,116.66,116.92
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,2632543000,145.97,150.17,140.02,128.81,148.29,147.19,140.38,147.35,151.52,147.32,138.69,147.45
JCI,Johnson Controls International,Industrials,Building Products,723908000,41.4,39.29,38.07,25.16,27.86,31.77,33.89,38.92,41.18,40.68,43.94,46.27
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,3048203000,141.09,133.37,121.52,84.36,93.25,98.6,93.26,96.1,100.14,96.97,100.25,119.74
JNPR,Juniper Networks,Information Technology,Communications Equipment,329736000,24.71,23.15,21.88,19.22,21.82,24.28,22.55,25.3,24.57,21.35,19.67,21.89
KSU,Kansas City Southern,Industrials,Railroads,93602000,155.45,171.45,155.06,122.13,128.36,149.27,144.6,176.6,184.3,179.45,178.12,187.1
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,343713000,67.64,68.84,63.14,61.09,64.86,66.11,65.93,69.35,69.24,64.38,63.94,63.68
KEY,KeyCorp,Financials,Regional Banks,976473000,20.26,18.98,16.97,9.45,11.07,11.85,11.69,12.03,12.53,11.92,13.43,15.84
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,186094000,104.19,93.21,97.42,80.89,93.84,106.93,99.71,100.77,99.74,97.48,104.74,121.84
KMB,Kimberly-Clark,Consumer Staples,Household Products,340137000,135.83,143.78,141.1,125.66,136.78,141.28,141.89,151.6,154.26,147.63,134.35,141.28
KIM,Kimco Realty,Real Estate,Retail REITs,432499000,19.6,19.18,17.82,8.3,10.6,11.98,12.91,11.09,12.21,11.61,10.45,14.8
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2263794000,21.04,20.81,20.24,12.73,14.56,15.77,14.91,14.03,13.87,12.24,11.89,14.1
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,155111000,182.57,169.93,158.74,131.61,150.27,175.96,193.15,207.65,207.95,198.98,202.23,256.66
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,1222623000,31.61,29.15,26.07,23.68,29.38,30.43,31.67,34.79,34.14,30.37,31.67,33.14
KR,Kroger Co.,Consumer Staples,Food Retail,761347000,28.66,26.98,29.68,30.5,31.96,32.49,33.57,35.1,35.4,34.02,32.06,33.01
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,278109000,17.49,22.44,22.25,10.23,12,16.54,15.1,24.38,31.54,33.22,33.02,38.9
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,210112000,203.31,220.89,202.05,177.17,189.46,196.12,170.49,167.88,177.72,172.69,170.4,191.84
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,97400000,167.48,178.58,187.96,116.17,159.03,177.02,167.03,196.02,174.11,186.91,207.23,201.46
LRCX,Lam Research,Information Technology,Semiconductor Equipment,144009000,297.89,308.44,300.33,223.33,235.02,270.97,317.48,381.41,340.56,339.13,350.95,467.65
